gpu_name RTX_3090
mean_duration 5.9399804193265835
relevance_pass_rate 0.9943530567149521
bert_raw_avg -0.013546615444227049
bert_pass_rate 0.9972992879941075
mpnet_raw_avg 0.7066892088031208
mpnet_pass_rate 0.9968082494475816
dpo_mean -10.516255102197398
dpo_norm_mean 0.7274848222732544
rlhf_mean 0.013959342390103342
rlhf_mean_norm 0.28563398122787476
reciprocate_reward_mean -2.0006380448517977
reciprocate_reward_mean_norm 0.08947518467903137
total_reward 0.4260352940618509
total_reward 0.4260352940618509
