gpu_name RTX_4090
mean_duration 4.483395932467429
relevance_pass_rate 0.9690934065934066
bert_raw_avg -0.013927980212472508
bert_pass_rate 0.9773351648351648
mpnet_raw_avg 0.7041122955647502
mpnet_pass_rate 0.9832875457875457
dpo_mean -11.332324129321199
dpo_norm_mean 0.5848815441131592
rlhf_mean -0.24860426944522945
rlhf_mean_norm 0.22119691967964172
reciprocate_reward_mean -0.3340035947028723
reciprocate_reward_mean_norm 0.1873100996017456
total_reward 0.36895770243481624
total_reward 0.36895770243481624
