gpu_name RTX_4090
mean_duration 5.606836210771736
relevance_pass_rate 0.9959839357429718
bert_raw_avg -0.012325471831882049
bert_pass_rate 0.9959839357429718
mpnet_raw_avg 0.728794385750131
mpnet_pass_rate 1.0
dpo_mean -10.102244917168674
dpo_norm_mean 0.6906077000031988
rlhf_mean -0.4133287482001037
rlhf_mean_norm 0.24654443951016927
reciprocate_reward_mean -2.7064921009925103
reciprocate_reward_mean_norm 0.14471315583550787
total_reward 0.3478115665614802
total_reward_excluding_relevance 0.34921403255567973
